rank,verbatim_factor,total_refs,transcripts,cross_case_factor,confidence,rationale
95,water wastage,9,5,Service Performance,low,token-overlap fallback (29)
96,awareness creation programs,8,5,Capacity Building,high,'awareness creation' over 'awareness'
97,borehole development,8,8,Infrastructure,high,matched 'borehole'
98,city cleanliness,8,4,Community / Users,high,matched 'cleanliness'
99,community awareness on waste management,8,7,Service Performance,high,'waste management' over 'awareness'
100,community financial contribution,8,7,Community Finance,high,'community financial' over 'community'
101,community responsibility,8,6,Community / Users,high,matched 'community'
102,community water access,8,7,Service Performance,high,'water access' over 'community'
103,financial management capacity,8,6,Govt / External Finance,low,token-overlap fallback (9)
104,inter-office coordination,8,5,Coordination,high,matched 'inter-office'
105,latrine cleanliness,8,4,Community / Users,high,'cleanliness' over 'latrine'
106,management committee training,8,6,Community Management,high,'management committee' over 'committee training'
107,officer mobility,8,2,Govt Management,high,matched 'officer'
108,operation and maintenance,8,5,O&M,high,matched 'operation and maintenance'
109,spare parts procurement,8,7,O&M,low,'spare part' over 'procurement'
110,water scheme construction,8,6,Infrastructure,high,matched 'scheme construction'
111,water service access,8,6,Service Performance,high,matched 'service access'
112,water service management,8,7,O&M,high,'service management' over 'water service'
113,NGO support,7,7,Govt / External Finance,high,'ngo support' over 'ngo'
114,community behavior change,7,4,Community / Users,high,matched 'community behavior'
115,community engagement,7,6,Community Management,high,'community engagement' over 'community'
116,community project ownership,7,5,Community Management,medium,'ownership' over 'community'
117,community settlement,7,3,Community / Users,high,matched 'settlement'
118,environmental contamination,7,5,Environmental,high,'environmental' over 'contaminat'
119,equitable water distribution,7,4,Service Performance,low,token-overlap fallback (29)
120,financial management,7,4,Govt / External Finance,low,token-overlap fallback (8)
121,latrine overflow,7,4,Infrastructure,high,matched 'latrine'
122,policy guidelines,7,1,Laws + Regulations,high,matched 'guideline'
123,road access,7,4,Infrastructure,medium,matched 'road'
124,scheme management,7,5,O&M,high,matched 'scheme management'
125,staff turnover,7,4,Govt Management,high,matched 'turnover'
126,stakeholder collaboration,7,6,Coordination,high,matched 'stakeholder'
127,standard waste disposal site,7,4,Infrastructure,high,'disposal site' over 'standard'
128,sub-county officer facilitation,7,1,Govt Management,high,matched 'sub-county'
129,timely maintenance,7,4,O&M,high,matched 'maintenance'
130,training,7,6,Capacity Building,high,matched 'training'
131,water borne diseases,7,4,Community / Users,high,matched 'water borne'
132,water scheme monitoring,7,5,Monitoring,high,matched 'monitoring'
133,water source availability,7,6,Environmental,high,matched 'water source availab'
134,water system maintenance,7,6,O&M,high,matched 'maintenance'
135,water-borne diseases,7,7,Community / Users,high,matched 'water-borne'
136,WASH forum,6,3,Coordination,high,matched 'wash forum'
137,appropriate waste disposal site,6,2,Infrastructure,high,matched 'disposal site'
138,clean water supply,6,4,Service Performance,high,matched 'water supply'
139,community sense of belongingness,6,4,Community / Users,high,matched 'community'
140,community sensitization,6,4,Community / Users,medium,'community' over 'sensitiz'
141,coordinated effort,6,5,Coordination,high,matched 'coordinat'
142,drought,6,6,Environmental,high,matched 'drought'
143,environmental sanitation,6,6,Environmental,high,matched 'environmental'
144,financial mismanagement,6,5,Govt Management,high,matched 'mismanage'
145,fund mismanagement,6,3,Govt / External Finance,high,'fund mismanage' over 'mismanage'
146,funding,6,4,Govt / External Finance,high,matched 'funding'
147,governance,6,4,Govt Management,high,matched 'governance'
148,improved coordination,6,4,Coordination,high,matched 'coordinat'
149,inter-stakeholder coordination,6,3,Coordination,high,matched 'stakeholder'
150,latrine functionality,6,2,Service Performance,high,'functionality' over 'latrine'
151,monitoring,6,2,Monitoring,high,matched 'monitoring'
152,monitoring and evaluation,6,4,Monitoring,high,matched 'monitoring'
153,multi-stakeholder collaboration,6,5,Coordination,high,matched 'multi-stakeholder'
154,partner coordination,6,6,Coordination,high,matched 'coordinat'
155,pastoralist mobility,6,2,Community / Users,low,no match — defaulted to Community / Users
156,personal hygiene,6,6,Community / Users,high,matched 'hygiene'
157,proper budget use,6,2,Govt / External Finance,high,matched 'budget'
158,proper use of water schemes,6,5,Community / Users,high,matched 'proper use'
159,qualified manpower,6,2,Govt Management,high,matched 'manpower'
160,resources at sub-county level,6,2,Govt Management,high,matched 'sub-county'
161,river contamination,6,4,Community / Users,high,'contaminat' over 'river'
162,sanitation improvement,6,5,Service Performance,high,matched 'sanitation improv'
163,sanitation service,6,4,Service Performance,high,matched 'sanitation service'
164,service provider accountability,6,2,Private Sector,high,'service provider' over 'accountab'
165,service sustainability,6,5,Sustainability,high,matched 'service sustainability'
166,sewerage system,6,3,Infrastructure,high,matched 'sewerage'
167,solar energy,6,3,Infrastructure,medium,matched 'solar'
168,staff mobility,6,1,Govt Management,medium,matched 'staff'
169,sustainable WASH service,6,4,Sustainability,high,matched 'sustainab'
170,water infrastructure development,6,5,Infrastructure,high,matched 'infrastructure'
171,water scheme longevity,6,6,Sustainability,high,matched 'longevity'
172,water service reliability,6,6,Service Performance,high,matched 'service reliab'
173,water storage capacity,6,4,Service Performance,high,'water storage capacity' over 'water storage'
174,water supply coverage,6,6,Service Performance,high,matched 'water supply'
175,water supply line contamination,6,3,Service Performance,high,'water supply' over 'contaminat'
176,water treatment,6,4,Service Performance,high,matched 'water treatment'
177,adequate finance,5,2,Govt / External Finance,high,matched 'finance'
178,arid climate,5,5,Environmental,high,matched 'climate'
179,attitude change,5,1,Capacity Building,low,token-overlap fallback (2)
180,borehole yields,5,2,Infrastructure,high,matched 'borehole'
181,committee accountability,5,4,Community Management,medium,'committee' over 'accountab'
182,community awareness creation,5,3,Capacity Building,high,'awareness creation' over 'awareness'
183,community awareness programs,5,5,Community / Users,high,matched 'awareness'
184,community savings,5,5,Community Finance,high,'community saving' over 'community'
185,continuous training,5,3,Capacity Building,high,matched 'training'
186,distance to water source,5,5,Service Performance,low,token-overlap fallback (29)
187,donor funding,5,5,Govt / External Finance,high,matched 'funding'
188,dumping site establishment,5,3,Infrastructure,high,matched 'dumping site'
189,duplication of effort,5,4,Coordination,high,matched 'duplication of effort'
190,electric power supply,5,3,Infrastructure,high,matched 'power supply'
191,environmental and sanitation problems,5,2,Service Performance,high,'sanitation problem' over 'environmental'
192,equitable water access,5,5,Service Performance,high,matched 'water access'
193,financial capacity,5,4,Govt / External Finance,high,matched 'financial capacity'
194,groundwater contamination,5,5,Service Performance,high,'water contaminat' over 'groundwater'
195,information sharing,5,4,Coordination,high,matched 'information sharing'
196,infrastructure breakdown,5,5,Infrastructure,high,'infrastructure' over 'breakdown'
197,infrastructure development,5,4,Infrastructure,high,matched 'infrastructure'
198,infrastructure maintenance,5,4,Infrastructure,high,'infrastructure' over 'maintenance'
199,infrastructure quality,5,3,Infrastructure,high,matched 'infrastructure'
200,maintenance costs,5,3,O&M,high,matched 'maintenance'
201,multi-sector coordination,5,4,Coordination,high,matched 'multi-sector'
202,pipeline extensions,5,4,Infrastructure,high,matched 'pipeline'
203,political influence,5,5,Politics,high,matched 'political influence'
204,problem identification,5,5,Service Performance,low,token-overlap fallback (1)
205,project duplication,5,4,Coordination,high,matched 'duplication'
206,project implementation,5,4,Infrastructure,high,matched 'project implementation'
207,project revenue,5,1,Community Finance,high,matched 'revenue'
208,public health,5,5,Community / Users,high,matched 'public'
209,rainwater harvesting,5,4,Environmental,high,matched 'rainwater harvest'
210,regular maintenance,5,4,O&M,high,matched 'maintenance'
211,repair response time,5,4,Service Performance,high,'response time' over 'repair'
212,river water use,5,2,Environmental,medium,matched 'river'
213,sanitation service capacity,5,3,Service Performance,high,matched 'sanitation service'
214,sanitation service delivery,5,5,Service Performance,high,matched 'sanitation service'
215,sanitation service improvement,5,5,Service Performance,high,matched 'sanitation service'
216,scheme maintenance,5,3,O&M,high,matched 'maintenance'
217,spare parts supply,5,5,O&M,high,matched 'spare part'
218,staff retention,5,4,Govt Management,high,matched 'retention'
219,sufficient water supply,5,3,Service Performance,high,matched 'water supply'
220,sustainable water supply,5,4,Service Performance,high,'water supply' over 'sustainab'
221,town cleanliness,5,5,Community / Users,high,matched 'cleanliness'
222,trained manpower,5,4,Govt Management,high,matched 'manpower'
223,transport,5,2,Infrastructure,high,matched 'transport'
224,tree planting,5,4,Environmental,high,matched 'tree planting'
225,vacuum truck availability,5,3,Service Performance,high,'vacuum truck' over 'truck'
226,waste disposal site development,5,4,Infrastructure,high,matched 'disposal site'
227,waste disposal site implementation,5,3,Infrastructure,high,matched 'implementation'
228,water and sanitation service sustainability,5,5,Sustainability,high,'water and sanitation service sustainability' over 'water an
229,water infrastructure maintenance,5,4,Infrastructure,high,'infrastructure' over 'maintenance'
230,water infrastructure protection,5,4,Infrastructure,high,matched 'infrastructure'
231,water project quality,5,1,Service Performance,low,token-overlap fallback (32)
232,water reservoir construction,5,3,Infrastructure,high,matched 'construction'
233,water service availability,5,4,Service Performance,high,matched 'water service'
234,water supply sustainability,5,5,Service Performance,high,'water supply' over 'sustainab'
235,water system sustainability,5,4,Sustainability,high,matched 'sustainab'
236,water tank capacity,5,4,Infrastructure,medium,matched 'tank'
237,waterborne diseases,5,3,Community / Users,high,matched 'waterborne'
238,NGO engagement,4,2,Coordination,medium,matched 'ngo'
239,WASH coordination,4,3,Coordination,high,matched 'coordinat'
240,WASH service sustainability,4,2,Sustainability,high,matched 'service sustainability'
241,WASHCo strengthening,4,2,Community Management,high,matched 'washco'
242,access to clean water,4,4,Service Performance,high,matched 'access to clean'
243,access to pure water,4,3,Service Performance,high,matched 'access to pure'
244,adequate financing,4,1,Govt / External Finance,high,matched 'financing'
245,adequate water supply,4,3,Service Performance,high,matched 'water supply'
246,awareness,4,3,Community / Users,high,matched 'awareness'
247,awareness programs,4,3,Community / Users,high,matched 'awareness'
248,borehole construction,4,3,Infrastructure,high,matched 'construction'
249,borehole maintenance,4,3,O&M,high,'maintenance' over 'borehole'
250,breakdown response,4,3,Service Performance,high,matched 'breakdown'
251,breakdown response time,4,4,Service Performance,high,matched 'response time'
252,committee management turnover,4,1,Community Management,medium,'committee' over 'turnover'
253,communicable diseases,4,4,Community / Users,high,matched 'disease'
254,community access to clean water,4,2,Service Performance,high,'access to clean' over 'community'
255,community capacity building,4,4,Capacity Building,high,'capacity build' over 'community'
256,community fee payment,4,2,Community / Users,medium,'community' over 'payment'
257,community ownership of project,4,1,Community Management,high,'community ownership' over 'community'
258,community sanitation awareness,4,4,Community / Users,high,matched 'awareness'
259,community water supply,4,3,Service Performance,high,'water supply' over 'community'
260,construction materials quality,4,2,Infrastructure,high,matched 'construction'
261,coordination with NGOs,4,3,Coordination,high,matched 'coordinat'
262,corruption,4,3,Govt Management,high,matched 'corruption'
263,dry season,4,3,Environmental,high,matched 'dry season'
264,dumping site,4,3,Infrastructure,high,matched 'dumping site'
265,dumping site solution,4,2,Infrastructure,high,matched 'dumping site'
266,environmental cleanliness,4,4,Environmental,high,'environmental' over 'cleanliness'
267,facility maintenance,4,2,O&M,high,'maintenance' over 'facility'
268,financial constraint,4,3,Govt / External Finance,high,matched 'financial constraint'
269,financial transparency,4,3,Community Finance,high,matched 'financial transparency'
270,flood,4,2,Environmental,medium,matched 'flood'
271,fund management,4,3,Govt / External Finance,low,token-overlap fallback (11)
272,good governance,4,3,Govt Management,high,matched 'governance'
273,health expenditure,4,3,Community / Users,high,matched 'health'
274,health problems,4,4,Community / Users,high,matched 'health'
275,infrastructure damage,4,4,Infrastructure,high,matched 'infrastructure'
276,landfill site,4,3,Infrastructure,high,matched 'landfill'
277,latrine construction,4,3,Infrastructure,high,matched 'construction'
278,liquid waste collection service,4,4,Service Performance,high,matched 'waste collection service'
279,local spare parts availability,4,3,O&M,high,matched 'spare part'
280,local technical capacity,4,3,Capacity Building,low,token-overlap fallback (9)
281,maintenance cost coverage,4,4,O&M,high,'maintenance' over 'coverage'
282,maintenance of water schemes,4,4,O&M,high,matched 'maintenance'
283,maintenance response time,4,4,Service Performance,high,'response time' over 'maintenance'
284,management quality,4,3,O&M,low,token-overlap fallback (6)
285,new water scheme construction,4,4,Infrastructure,high,matched 'scheme construction'
286,one-health package implementation,4,1,Infrastructure,high,'implementation' over 'health'
287,operational sustainability,4,3,Sustainability,high,matched 'sustainab'
288,pastoral community settlement,4,3,Community / Users,high,matched 'settlement'
289,political instability,4,3,Politics,high,matched 'political instability'
290,project failure,4,3,Planning,low,token-overlap fallback (7)
291,project success,4,2,Planning,low,token-overlap fallback (7)
292,proper site selection,4,1,Planning,high,'site selection' over 'election'
293,proper waste management,4,2,Service Performance,high,matched 'waste management'
294,public health problems,4,3,Community / Users,high,matched 'public'
295,record keeping,4,3,Monitoring,high,matched 'record keeping'
296,regular stakeholder meetings,4,3,Coordination,high,matched 'stakeholder'
297,river pollution,4,4,Environmental,high,matched 'pollution'
298,river water quality,4,3,Service Performance,high,'water quality' over 'river'
299,river water treatment,4,3,Service Performance,high,'water treatment' over 'river'
300,running costs,4,1,O&M,high,matched 'running cost'
301,rural-urban migration,4,4,Planning,medium,'rural-urban' over 'migration'
302,sand dam construction,4,4,Infrastructure,high,matched 'construction'
303,sanitation and hygiene practices,4,4,Community / Users,high,matched 'sanitation and hygiene'
304,sanitation and hygiene problems,4,4,Community / Users,high,matched 'sanitation and hygiene'
305,sanitation practices,4,4,Service Performance,low,token-overlap fallback (10)
306,sanitation problem,4,4,Service Performance,high,matched 'sanitation problem'
307,sanitation problem solving,4,3,Service Performance,high,matched 'sanitation problem'
308,scheme financial capacity,4,2,Govt / External Finance,high,matched 'financial capacity'
309,school enrollment,4,3,Community / Users,high,matched 'school'
310,sense of belongingness,4,2,Community Management,low,token-overlap fallback (2)
311,sense of community ownership,4,1,Community Management,high,'community ownership' over 'community'
312,service delivery,4,3,Service Performance,high,matched 'service deliver'
313,solar power,4,3,Infrastructure,medium,matched 'solar'
314,stagnant water,4,2,Service Performance,low,token-overlap fallback (29)
315,stakeholder participation,4,3,Coordination,high,'stakeholder participation' over 'participation'
316,sustainable water and sanitation service,4,3,Sustainability,high,'sustainable water and sanitation' over 'water and sanitatio
317,technical skills training,4,1,Capacity Building,high,matched 'training'
318,time spent fetching water,4,3,Service Performance,low,token-overlap fallback (32)
319,timely repair,4,3,O&M,high,matched 'repair'
320,training continuity,4,2,Capacity Building,high,matched 'training'
321,underground water availability,4,2,Service Performance,medium,'water availab' over 'ground water'
322,urbanization,4,4,Planning,high,matched 'urbanization'
323,waste collection capacity,4,3,Service Performance,high,matched 'waste collect'
324,waste disposal capacity,4,3,Community / Users,low,token-overlap fallback (11)
325,waste disposal infrastructure,4,4,Infrastructure,high,matched 'infrastructure'
326,waste disposal practices,4,2,Community / Users,high,matched 'waste disposal practice'
327,waste disposal site construction,4,2,Infrastructure,high,matched 'disposal site'
328,waste disposal site identification,4,2,Infrastructure,high,matched 'disposal site'
329,waste management practices,4,4,Service Performance,high,matched 'waste management'
330,water affordability,4,3,Community Finance,high,matched 'affordab'
331,water bill,4,1,Community Finance,high,matched 'water bill'
332,water demand satisfaction,4,4,Community / Users,high,matched 'water demand'
333,water infrastructure expansion,4,3,Infrastructure,high,matched 'infrastructure'
334,water infrastructure sustainability,4,2,Infrastructure,high,'infrastructure' over 'sustainab'
335,water policy/bill,4,1,Laws + Regulations,high,matched 'policy'
336,water project completion,4,4,Service Performance,low,token-overlap fallback (29)
337,water resource identification,4,2,Environmental,high,matched 'water resource'
338,water salinity,4,4,Environmental,high,matched 'salinity'
339,water scheme utilization,4,3,Service Performance,low,token-overlap fallback (29)
340,water source functionality,4,2,Service Performance,high,matched 'functionality'
341,water source maintenance,4,3,O&M,high,matched 'maintenance'
342,water supply volume,4,2,Service Performance,high,matched 'water supply'
343,water yields,4,2,Service Performance,high,matched 'water yield'
344,water/sanitation service sustainability,4,1,Sustainability,high,'sanitation service sustainability' over 'sanitation service
345,woreda budget,4,2,Govt / External Finance,low,'budget' over 'woreda'
346,woreda water office capacity,4,4,Govt Management,high,matched 'office capacity'
347,FundiFix model,3,2,Community / Users,low,no match — defaulted to Community / Users
348,FundiFix partnership,3,1,Coordination,high,matched 'partnership'
349,NGO coordination,3,3,Coordination,high,matched 'coordinat'
350,NGO partnerships,3,2,Coordination,high,matched 'partnership'
351,One-WASH program implementation,3,1,Infrastructure,high,matched 'implementation'
352,WASH Forum,3,2,Coordination,high,matched 'wash forum'
353,WASH committee effectiveness,3,2,Community Management,high,matched 'wash committee'
354,WASH coordination task force,3,1,Coordination,high,matched 'coordinat'
355,WASH problem resolution,3,3,Community Management,low,token-overlap fallback (2)
356,WASH service delivery,3,3,Service Performance,high,matched 'service deliver'
357,WASHCo capacity,3,2,Community Management,high,matched 'washco'
358,WUC account management,3,1,Community Management,medium,matched 'wuc'
359,Water Act,3,1,Service Performance,low,token-overlap fallback (29)
360,access to appropriate waste disposal place,3,1,Service Performance,low,token-overlap fallback (13)
361,accountability for fund misuse,3,2,Monitoring,high,'accountab' over 'misuse'
362,additional latrine construction,3,1,Infrastructure,high,matched 'construction'
363,all-inclusive management model,3,1,O&M,low,token-overlap fallback (6)
364,alternative water sources,3,3,Service Performance,low,token-overlap fallback (29)
365,appropriate research,3,2,Community / Users,low,no match — defaulted to Community / Users
366,aridity,3,3,Community / Users,low,no match — defaulted to Community / Users
367,asset replacement,3,2,Community / Users,low,no match — defaulted to Community / Users
368,automatic billing system,3,1,Community Finance,high,matched 'billing'
369,bid pricing accuracy,3,1,Community / Users,low,no match — defaulted to Community / Users
370,borehole drilling,3,3,Infrastructure,high,matched 'borehole'
371,borehole salinity,3,2,Infrastructure,low,'borehole' over 'salinity'
372,breakdowns,3,1,Service Performance,high,matched 'breakdown'
373,budget availability,3,3,Govt / External Finance,high,matched 'budget'
374,budget source diversification,3,2,Govt / External Finance,high,matched 'budget'
375,capital budget,3,3,Govt / External Finance,high,matched 'budget'
376,clean environment,3,2,Community / Users,high,'clean environment' over 'environment'
377,climate change mitigation,3,3,Environmental,high,matched 'climate'
378,committee management capacity,3,2,Community Management,high,matched 'committee'
379,committee role clarity,3,1,Community Management,high,matched 'committee'
380,committee stability,3,3,Community Management,high,matched 'committee'
381,committee turnover,3,2,Community Management,medium,'committee' over 'turnover'
382,community acceptance of dumping site,3,2,Community / Users,high,'community acceptance' over 'dumping site'
383,community awareness about sanitation,3,1,Community / Users,high,matched 'awareness'
384,community awareness on proper use of water schemes,3,2,Community / Users,high,matched 'proper use'
385,community contribution,3,2,Community Finance,high,'community contribution' over 'community'
386,community education,3,3,Capacity Building,high,'community education' over 'community'
387,community empowerment,3,1,Community / Users,high,matched 'community'
388,community financial contributions,3,3,Community Finance,high,'community financial' over 'community'
389,community health disorders,3,1,Community / Users,high,matched 'community'
390,community hygiene,3,3,Community / Users,high,matched 'community'
391,community initiative,3,1,Community / Users,high,matched 'community'
392,community management capacity,3,3,Community Management,high,'community management' over 'community'
393,community ownership mindset,3,2,Community Management,high,'community ownership' over 'community'
394,community ownership of water schemes,3,3,Community Management,high,'community ownership' over 'community'
395,community participation in water projects,3,2,Community Management,high,'community participation' over 'community'
396,community payment for waste collection,3,2,Service Performance,high,'waste collect' over 'community'
397,community priority identification,3,1,Community / Users,high,matched 'community'
398,community self-management of water service,3,1,Service Performance,high,'water service' over 'community'
399,community sense of ownership of water schemes,3,2,Community Management,high,'community sense of ownership' over 'community'
400,community skills in O&M,3,1,Community / Users,high,'community' over 'o&m'
401,community trust,3,3,Community / Users,high,matched 'community trust'
402,community waste sorting,3,1,Community / Users,high,matched 'community'
403,community willingness to pay,3,2,Community Finance,high,'willingness to pay' over 'community'
404,consistent messaging about Whave Solutions,3,1,Private Sector,medium,matched 'whave'
405,construction quality,3,1,Infrastructure,high,matched 'construction'
406,coordination among stakeholders,3,2,Coordination,high,matched 'stakeholder'
407,coordination continuity,3,3,Coordination,high,matched 'coordinat'
408,cost effectiveness,3,2,O&M,low,token-overlap fallback (8)
409,county water policy,3,2,Laws + Regulations,high,matched 'policy'
410,directive implementation,3,1,Infrastructure,high,'implementation' over 'directive'
411,distance to fetch water,3,2,Service Performance,low,token-overlap fallback (29)
412,dumping site availability,3,2,Infrastructure,high,matched 'dumping site'
413,duplication of efforts,3,3,Coordination,high,matched 'duplication of effort'
414,duplication of interventions,3,3,Coordination,high,matched 'duplication'
415,economic growth,3,2,Private Sector,high,matched 'economic'
416,efficient water use,3,3,Service Performance,low,token-overlap fallback (29)
417,electricity costs,3,1,O&M,high,'electricity cost' over 'electricity'
418,employment opportunity,3,3,Private Sector,high,matched 'employment opportunit'
419,environmental conservation,3,2,Environmental,high,matched 'environmental'
420,expert capacity,3,1,Govt Management,high,matched 'expert'
421,finance,3,2,Govt / External Finance,high,matched 'finance'
422,financial report timeliness,3,1,Monitoring,high,matched 'report'
423,financial reserves,3,2,Govt / External Finance,low,token-overlap fallback (8)
424,financing,3,3,Govt / External Finance,high,matched 'financing'
425,fund mobilization,3,2,Capacity Building,high,matched 'mobiliz'
426,garbage truck availability,3,2,Infrastructure,medium,matched 'truck'
427,good reputation,3,1,Community / Users,low,no match — defaulted to Community / Users
428,government financial support,3,3,Govt / External Finance,high,'financial support' over 'government'
429,government funding,3,3,Govt / External Finance,high,'government funding' over 'government'
430,government-NGO collaboration,3,2,Govt Management,low,'government' over 'collaborat'
431,health conditions,3,3,Community / Users,high,matched 'health'
432,health extension workers,3,3,Community / Users,high,matched 'health'
433,health outcomes,3,3,Community / Users,high,matched 'health'
434,household water supply,3,3,Service Performance,high,'water supply' over 'household'
435,hydrological data,3,1,Monitoring,medium,matched 'data'
436,hygiene and sanitation practices,3,2,Community / Users,high,matched 'hygiene'
437,improper waste disposal in ditches,3,1,Community / Users,high,matched 'improper waste disposal'
438,improper waste dumping,3,2,Community / Users,low,token-overlap fallback (10)
439,inappropriate waste disposal practices,3,2,Community / Users,high,matched 'waste disposal practice'
