factor,bucket,confidence,rationale,total_refs
water scheme management,O&M,high,matched 'water scheme management',16
borehole functionality,Service Performance,high,'functionality' over 'borehole',15
water contamination,Service Performance,high,'water contaminat' over 'contaminat',15
water quality,Service Performance,high,matched 'water quality',15
WASH Forum participation,Coordination,high,'wash forum participation' over 'participation',14
inter-organizational coordination,Coordination,high,matched 'inter-organiz',14
water and sanitation sustainability,Sustainability,high,matched 'water and sanitation sustainability',14
water project sustainability,Sustainability,high,matched 'project sustainability',14
water scheme maintenance,O&M,high,matched 'maintenance',14
water shortage,Service Performance,high,matched 'water shortage',14
awareness creation,Capacity Building,high,'awareness creation' over 'awareness',13
community awareness on sanitation,Community / Users,high,matched 'awareness',13
community participation,Community Management,high,'community participation' over 'community',13
community training,Community / Users,medium,'community' over 'training',13
fund misappropriation,Govt / External Finance,high,matched 'fund misappropriat',13
maintenance capacity,O&M,high,matched 'maintenance',13
proper waste disposal practices,Community / Users,high,matched 'waste disposal practice',13
resource mobilization,Govt / External Finance,high,'resource mobiliz' over 'mobiliz',13
waste management,Service Performance,high,matched 'waste management',13
water service continuity,Service Performance,high,matched 'service continu',13
water service coverage,Service Performance,high,matched 'service coverage',13
water supply shortage,Service Performance,high,matched 'water supply',13
accountability,Monitoring,high,matched 'accountab',12
environmental pollution,Environmental,high,matched 'environmental',12
liquid waste management,Service Performance,high,matched 'waste management',12
maintenance funding,O&M,high,'maintenance' over 'funding',12
operation and maintenance costs,O&M,high,matched 'operation and maintenance',12
operational cost,O&M,high,matched 'operational cost',12
sanitation sustainability,Sustainability,high,matched 'sanitation sustainability',12
solid waste management,Service Performance,high,matched 'waste management',12
sustainable sanitation,Sustainability,high,matched 'sustainab',12
waste disposal place,Community / Users,low,token-overlap fallback (11),12
water demand,Community / Users,high,matched 'water demand',12
WASH stakeholder coordination,Coordination,high,matched 'stakeholder',11
climate change,Environmental,high,matched 'climate',11
financial accountability,Community Finance,high,'financial accountab' over 'accountab',11
government budget allocation,Govt / External Finance,high,'government budget' over 'government',11
revenue collection,Community Finance,high,matched 'revenue collection',11
sanitation problem resolution,Service Performance,high,matched 'sanitation problem',11
capacity building,Capacity Building,high,matched 'capacity build',10
community awareness on waste disposal,Community / Users,high,matched 'awareness',10
inter-agency coordination,Coordination,high,matched 'inter-agency',10
political interference,Politics,high,matched 'political interfer',10
proper waste disposal,Community / Users,high,matched 'proper waste disposal',10
scheme management capacity,O&M,high,matched 'scheme management',10
scheme management quality,O&M,high,matched 'scheme management',10
scheme sustainability,Sustainability,high,matched 'scheme sustainability',10
town image,Community / Users,high,matched 'town image',10
waste disposal site availability,Infrastructure,high,matched 'disposal site',10
water facility sustainability,Sustainability,medium,'sustainab' over 'facility',10
water service improvement,Service Performance,high,matched 'service improv',10
water service provision,Service Performance,high,matched 'service provis',10
financial resources,Govt / External Finance,high,matched 'financial resource',9
land ownership disputes,Laws + Regulations,high,'land ownership' over 'ownership',9
scheme financial sustainability,Sustainability,high,matched 'sustainab',9
water supply capacity,Service Performance,high,matched 'water supply',9
water wastage,Service Performance,low,token-overlap fallback (29),9
awareness creation programs,Capacity Building,high,'awareness creation' over 'awareness',8
borehole development,Infrastructure,high,matched 'borehole',8
city cleanliness,Community / Users,high,matched 'cleanliness',8
community awareness on waste management,Service Performance,high,'waste management' over 'awareness',8
community financial contribution,Community Finance,high,'community financial' over 'community',8
community responsibility,Community / Users,high,matched 'community',8
community water access,Service Performance,high,'water access' over 'community',8
financial management capacity,Govt / External Finance,low,token-overlap fallback (9),8
inter-office coordination,Coordination,high,matched 'inter-office',8
latrine cleanliness,Community / Users,high,'cleanliness' over 'latrine',8
management committee training,Community Management,high,'management committee' over 'committee training',8
officer mobility,Govt Management,high,matched 'officer',8
operation and maintenance,O&M,high,matched 'operation and maintenance',8
spare parts procurement,O&M,low,'spare part' over 'procurement',8
water scheme construction,Infrastructure,high,matched 'scheme construction',8
water service access,Service Performance,high,matched 'service access',8
water service management,O&M,high,'service management' over 'water service',8
NGO support,Govt / External Finance,high,'ngo support' over 'ngo',7
community behavior change,Community / Users,high,matched 'community behavior',7
community engagement,Community Management,high,'community engagement' over 'community',7
community project ownership,Community Management,medium,'ownership' over 'community',7
community settlement,Community / Users,high,matched 'settlement',7
environmental contamination,Environmental,high,'environmental' over 'contaminat',7
equitable water distribution,Service Performance,low,token-overlap fallback (29),7
financial management,Govt / External Finance,low,token-overlap fallback (8),7
latrine overflow,Infrastructure,high,matched 'latrine',7
policy guidelines,Laws + Regulations,high,matched 'guideline',7
road access,Infrastructure,medium,matched 'road',7
scheme management,O&M,high,matched 'scheme management',7
staff turnover,Govt Management,high,matched 'turnover',7
stakeholder collaboration,Coordination,high,matched 'stakeholder',7
standard waste disposal site,Infrastructure,high,'disposal site' over 'standard',7
sub-county officer facilitation,Govt Management,high,matched 'sub-county',7
timely maintenance,O&M,high,matched 'maintenance',7
training,Capacity Building,high,matched 'training',7
water borne diseases,Community / Users,high,matched 'water borne',7
water scheme monitoring,Monitoring,high,matched 'monitoring',7
water source availability,Environmental,high,matched 'water source availab',7
water system maintenance,O&M,high,matched 'maintenance',7
water-borne diseases,Community / Users,high,matched 'water-borne',7
WASH forum,Coordination,high,matched 'wash forum',6
appropriate waste disposal site,Infrastructure,high,matched 'disposal site',6
clean water supply,Service Performance,high,matched 'water supply',6
community sense of belongingness,Community / Users,high,matched 'community',6
community sensitization,Community / Users,medium,'community' over 'sensitiz',6
coordinated effort,Coordination,high,matched 'coordinat',6
drought,Environmental,high,matched 'drought',6
environmental sanitation,Environmental,high,matched 'environmental',6
financial mismanagement,Govt Management,high,matched 'mismanage',6
fund mismanagement,Govt / External Finance,high,'fund mismanage' over 'mismanage',6
funding,Govt / External Finance,high,matched 'funding',6
governance,Govt Management,high,matched 'governance',6
improved coordination,Coordination,high,matched 'coordinat',6
inter-stakeholder coordination,Coordination,high,matched 'stakeholder',6
latrine functionality,Service Performance,high,'functionality' over 'latrine',6
monitoring,Monitoring,high,matched 'monitoring',6
monitoring and evaluation,Monitoring,high,matched 'monitoring',6
multi-stakeholder collaboration,Coordination,high,matched 'multi-stakeholder',6
partner coordination,Coordination,high,matched 'coordinat',6
pastoralist mobility,Community / Users,low,no match — defaulted to Community / Users,6
personal hygiene,Community / Users,high,matched 'hygiene',6
proper budget use,Govt / External Finance,high,matched 'budget',6
proper use of water schemes,Community / Users,high,matched 'proper use',6
qualified manpower,Govt Management,high,matched 'manpower',6
resources at sub-county level,Govt Management,high,matched 'sub-county',6
river contamination,Community / Users,high,'contaminat' over 'river',6
sanitation improvement,Service Performance,high,matched 'sanitation improv',6
sanitation service,Service Performance,high,matched 'sanitation service',6
service provider accountability,Private Sector,high,'service provider' over 'accountab',6
service sustainability,Sustainability,high,matched 'service sustainability',6
sewerage system,Infrastructure,high,matched 'sewerage',6
solar energy,Infrastructure,medium,matched 'solar',6
staff mobility,Govt Management,medium,matched 'staff',6
sustainable WASH service,Sustainability,high,matched 'sustainab',6
water infrastructure development,Infrastructure,high,matched 'infrastructure',6
water scheme longevity,Sustainability,high,matched 'longevity',6
water service reliability,Service Performance,high,matched 'service reliab',6
water storage capacity,Service Performance,high,'water storage capacity' over 'water storage',6
water supply coverage,Service Performance,high,matched 'water supply',6
water supply line contamination,Service Performance,high,'water supply' over 'contaminat',6
water treatment,Service Performance,high,matched 'water treatment',6
adequate finance,Govt / External Finance,high,matched 'finance',5
arid climate,Environmental,high,matched 'climate',5
attitude change,Capacity Building,low,token-overlap fallback (2),5
borehole yields,Infrastructure,high,matched 'borehole',5
committee accountability,Community Management,medium,'committee' over 'accountab',5
community awareness creation,Capacity Building,high,'awareness creation' over 'awareness',5
community awareness programs,Community / Users,high,matched 'awareness',5
community savings,Community Finance,high,'community saving' over 'community',5
continuous training,Capacity Building,high,matched 'training',5
distance to water source,Service Performance,low,token-overlap fallback (29),5
donor funding,Govt / External Finance,high,matched 'funding',5
dumping site establishment,Infrastructure,high,matched 'dumping site',5
duplication of effort,Coordination,high,matched 'duplication of effort',5
electric power supply,Infrastructure,high,matched 'power supply',5
environmental and sanitation problems,Service Performance,high,'sanitation problem' over 'environmental',5
equitable water access,Service Performance,high,matched 'water access',5
financial capacity,Govt / External Finance,high,matched 'financial capacity',5
groundwater contamination,Service Performance,high,'water contaminat' over 'groundwater',5
information sharing,Coordination,high,matched 'information sharing',5
infrastructure breakdown,Infrastructure,high,'infrastructure' over 'breakdown',5
infrastructure development,Infrastructure,high,matched 'infrastructure',5
infrastructure maintenance,Infrastructure,high,'infrastructure' over 'maintenance',5
infrastructure quality,Infrastructure,high,matched 'infrastructure',5
maintenance costs,O&M,high,matched 'maintenance',5
multi-sector coordination,Coordination,high,matched 'multi-sector',5
pipeline extensions,Infrastructure,high,matched 'pipeline',5
political influence,Politics,high,matched 'political influence',5
problem identification,Service Performance,low,token-overlap fallback (1),5
project duplication,Coordination,high,matched 'duplication',5
project implementation,Infrastructure,high,matched 'project implementation',5
project revenue,Community Finance,high,matched 'revenue',5
public health,Community / Users,high,matched 'public',5
rainwater harvesting,Environmental,high,matched 'rainwater harvest',5
regular maintenance,O&M,high,matched 'maintenance',5
repair response time,Service Performance,high,'response time' over 'repair',5
river water use,Environmental,medium,matched 'river',5
sanitation service capacity,Service Performance,high,matched 'sanitation service',5
sanitation service delivery,Service Performance,high,matched 'sanitation service',5
sanitation service improvement,Service Performance,high,matched 'sanitation service',5
scheme maintenance,O&M,high,matched 'maintenance',5
spare parts supply,O&M,high,matched 'spare part',5
staff retention,Govt Management,high,matched 'retention',5
sufficient water supply,Service Performance,high,matched 'water supply',5
sustainable water supply,Service Performance,high,'water supply' over 'sustainab',5
town cleanliness,Community / Users,high,matched 'cleanliness',5
trained manpower,Govt Management,high,matched 'manpower',5
transport,Infrastructure,high,matched 'transport',5
tree planting,Environmental,high,matched 'tree planting',5
vacuum truck availability,Service Performance,high,'vacuum truck' over 'truck',5
waste disposal site development,Infrastructure,high,matched 'disposal site',5
waste disposal site implementation,Infrastructure,high,matched 'implementation',5
water and sanitation service sustainability,Sustainability,high,'water and sanitation service sustainability' over 'water an,5
water infrastructure maintenance,Infrastructure,high,'infrastructure' over 'maintenance',5
water infrastructure protection,Infrastructure,high,matched 'infrastructure',5
water project quality,Service Performance,low,token-overlap fallback (32),5
water reservoir construction,Infrastructure,high,matched 'construction',5
water service availability,Service Performance,high,matched 'water service',5
water supply sustainability,Service Performance,high,'water supply' over 'sustainab',5
water system sustainability,Sustainability,high,matched 'sustainab',5
water tank capacity,Infrastructure,medium,matched 'tank',5
waterborne diseases,Community / Users,high,matched 'waterborne',5
NGO engagement,Coordination,medium,matched 'ngo',4
WASH coordination,Coordination,high,matched 'coordinat',4
WASH service sustainability,Sustainability,high,matched 'service sustainability',4
WASHCo strengthening,Community Management,high,matched 'washco',4
access to clean water,Service Performance,high,matched 'access to clean',4
access to pure water,Service Performance,high,matched 'access to pure',4
adequate financing,Govt / External Finance,high,matched 'financing',4
adequate water supply,Service Performance,high,matched 'water supply',4
awareness,Community / Users,high,matched 'awareness',4
awareness programs,Community / Users,high,matched 'awareness',4
borehole construction,Infrastructure,high,matched 'construction',4
borehole maintenance,O&M,high,'maintenance' over 'borehole',4
breakdown response,Service Performance,high,matched 'breakdown',4
breakdown response time,Service Performance,high,matched 'response time',4
committee management turnover,Community Management,medium,'committee' over 'turnover',4
communicable diseases,Community / Users,high,matched 'disease',4
community access to clean water,Service Performance,high,'access to clean' over 'community',4
community capacity building,Capacity Building,high,'capacity build' over 'community',4
community fee payment,Community / Users,medium,'community' over 'payment',4
community ownership of project,Community Management,high,'community ownership' over 'community',4
community sanitation awareness,Community / Users,high,matched 'awareness',4
community water supply,Service Performance,high,'water supply' over 'community',4
construction materials quality,Infrastructure,high,matched 'construction',4
coordination with NGOs,Coordination,high,matched 'coordinat',4
corruption,Govt Management,high,matched 'corruption',4
dry season,Environmental,high,matched 'dry season',4
dumping site,Infrastructure,high,matched 'dumping site',4
dumping site solution,Infrastructure,high,matched 'dumping site',4
environmental cleanliness,Environmental,high,'environmental' over 'cleanliness',4
facility maintenance,O&M,high,'maintenance' over 'facility',4
financial constraint,Govt / External Finance,high,matched 'financial constraint',4
financial transparency,Community Finance,high,matched 'financial transparency',4
flood,Environmental,medium,matched 'flood',4
fund management,Govt / External Finance,low,token-overlap fallback (11),4
good governance,Govt Management,high,matched 'governance',4
health expenditure,Community / Users,high,matched 'health',4
health problems,Community / Users,high,matched 'health',4
infrastructure damage,Infrastructure,high,matched 'infrastructure',4
landfill site,Infrastructure,high,matched 'landfill',4
latrine construction,Infrastructure,high,matched 'construction',4
liquid waste collection service,Service Performance,high,matched 'waste collection service',4
local spare parts availability,O&M,high,matched 'spare part',4
local technical capacity,Capacity Building,low,token-overlap fallback (9),4
maintenance cost coverage,O&M,high,'maintenance' over 'coverage',4
maintenance of water schemes,O&M,high,matched 'maintenance',4
maintenance response time,Service Performance,high,'response time' over 'maintenance',4
management quality,O&M,low,token-overlap fallback (6),4
new water scheme construction,Infrastructure,high,matched 'scheme construction',4
one-health package implementation,Infrastructure,high,'implementation' over 'health',4
operational sustainability,Sustainability,high,matched 'sustainab',4
pastoral community settlement,Community / Users,high,matched 'settlement',4
political instability,Politics,high,matched 'political instability',4
project failure,Planning,low,token-overlap fallback (7),4
project success,Planning,low,token-overlap fallback (7),4
proper site selection,Planning,high,'site selection' over 'election',4
proper waste management,Service Performance,high,matched 'waste management',4
public health problems,Community / Users,high,matched 'public',4
record keeping,Monitoring,high,matched 'record keeping',4
regular stakeholder meetings,Coordination,high,matched 'stakeholder',4
river pollution,Environmental,high,matched 'pollution',4
river water quality,Service Performance,high,'water quality' over 'river',4
river water treatment,Service Performance,high,'water treatment' over 'river',4
running costs,O&M,high,matched 'running cost',4
rural-urban migration,Planning,medium,'rural-urban' over 'migration',4
sand dam construction,Infrastructure,high,matched 'construction',4
sanitation and hygiene practices,Community / Users,high,matched 'sanitation and hygiene',4
sanitation and hygiene problems,Community / Users,high,matched 'sanitation and hygiene',4
sanitation practices,Service Performance,low,token-overlap fallback (10),4
sanitation problem,Service Performance,high,matched 'sanitation problem',4
sanitation problem solving,Service Performance,high,matched 'sanitation problem',4
scheme financial capacity,Govt / External Finance,high,matched 'financial capacity',4
school enrollment,Community / Users,high,matched 'school',4
sense of belongingness,Community Management,low,token-overlap fallback (2),4
sense of community ownership,Community Management,high,'community ownership' over 'community',4
service delivery,Service Performance,high,matched 'service deliver',4
solar power,Infrastructure,medium,matched 'solar',4
stagnant water,Service Performance,low,token-overlap fallback (29),4
stakeholder participation,Coordination,high,'stakeholder participation' over 'participation',4
sustainable water and sanitation service,Sustainability,high,'sustainable water and sanitation' over 'water and sanitatio,4
technical skills training,Capacity Building,high,matched 'training',4
time spent fetching water,Service Performance,low,token-overlap fallback (32),4
timely repair,O&M,high,matched 'repair',4
training continuity,Capacity Building,high,matched 'training',4
underground water availability,Service Performance,medium,'water availab' over 'ground water',4
urbanization,Planning,high,matched 'urbanization',4
waste collection capacity,Service Performance,high,matched 'waste collect',4
waste disposal capacity,Community / Users,low,token-overlap fallback (11),4
waste disposal infrastructure,Infrastructure,high,matched 'infrastructure',4
waste disposal practices,Community / Users,high,matched 'waste disposal practice',4
waste disposal site construction,Infrastructure,high,matched 'disposal site',4
waste disposal site identification,Infrastructure,high,matched 'disposal site',4
waste management practices,Service Performance,high,matched 'waste management',4
water affordability,Community Finance,high,matched 'affordab',4
water bill,Community Finance,high,matched 'water bill',4
water demand satisfaction,Community / Users,high,matched 'water demand',4
water infrastructure expansion,Infrastructure,high,matched 'infrastructure',4
water infrastructure sustainability,Infrastructure,high,'infrastructure' over 'sustainab',4
water policy/bill,Laws + Regulations,high,matched 'policy',4
water project completion,Service Performance,low,token-overlap fallback (29),4
water resource identification,Environmental,high,matched 'water resource',4
water salinity,Environmental,high,matched 'salinity',4
water scheme utilization,Service Performance,low,token-overlap fallback (29),4
water source functionality,Service Performance,high,matched 'functionality',4
water source maintenance,O&M,high,matched 'maintenance',4
water supply volume,Service Performance,high,matched 'water supply',4
water yields,Service Performance,high,matched 'water yield',4
water/sanitation service sustainability,Sustainability,high,'sanitation service sustainability' over 'sanitation service,4
woreda budget,Govt / External Finance,low,'budget' over 'woreda',4
woreda water office capacity,Govt Management,high,matched 'office capacity',4
FundiFix model,Community / Users,low,no match — defaulted to Community / Users,3
FundiFix partnership,Coordination,high,matched 'partnership',3
NGO coordination,Coordination,high,matched 'coordinat',3
NGO partnerships,Coordination,high,matched 'partnership',3
One-WASH program implementation,Infrastructure,high,matched 'implementation',3
WASH Forum,Coordination,high,matched 'wash forum',3
WASH committee effectiveness,Community Management,high,matched 'wash committee',3
WASH coordination task force,Coordination,high,matched 'coordinat',3
WASH problem resolution,Community Management,low,token-overlap fallback (2),3
WASH service delivery,Service Performance,high,matched 'service deliver',3
WASHCo capacity,Community Management,high,matched 'washco',3
WUC account management,Community Management,medium,matched 'wuc',3
Water Act,Service Performance,low,token-overlap fallback (29),3
access to appropriate waste disposal place,Service Performance,low,token-overlap fallback (13),3
accountability for fund misuse,Monitoring,high,'accountab' over 'misuse',3
additional latrine construction,Infrastructure,high,matched 'construction',3
all-inclusive management model,O&M,low,token-overlap fallback (6),3
alternative water sources,Service Performance,low,token-overlap fallback (29),3
appropriate research,Community / Users,low,no match — defaulted to Community / Users,3
aridity,Community / Users,low,no match — defaulted to Community / Users,3
asset replacement,Community / Users,low,no match — defaulted to Community / Users,3
automatic billing system,Community Finance,high,matched 'billing',3
bid pricing accuracy,Community / Users,low,no match — defaulted to Community / Users,3
borehole drilling,Infrastructure,high,matched 'borehole',3
borehole salinity,Infrastructure,low,'borehole' over 'salinity',3
breakdowns,Service Performance,high,matched 'breakdown',3
budget availability,Govt / External Finance,high,matched 'budget',3
budget source diversification,Govt / External Finance,high,matched 'budget',3
capital budget,Govt / External Finance,high,matched 'budget',3
clean environment,Community / Users,high,'clean environment' over 'environment',3
climate change mitigation,Environmental,high,matched 'climate',3
committee management capacity,Community Management,high,matched 'committee',3
committee role clarity,Community Management,high,matched 'committee',3
committee stability,Community Management,high,matched 'committee',3
committee turnover,Community Management,medium,'committee' over 'turnover',3
community acceptance of dumping site,Community / Users,high,'community acceptance' over 'dumping site',3
community awareness about sanitation,Community / Users,high,matched 'awareness',3
community awareness on proper use of water schemes,Community / Users,high,matched 'proper use',3
community contribution,Community Finance,high,'community contribution' over 'community',3
community education,Capacity Building,high,'community education' over 'community',3
community empowerment,Community / Users,high,matched 'community',3
community financial contributions,Community Finance,high,'community financial' over 'community',3
community health disorders,Community / Users,high,matched 'community',3
community hygiene,Community / Users,high,matched 'community',3
community initiative,Community / Users,high,matched 'community',3
community management capacity,Community Management,high,'community management' over 'community',3
community ownership mindset,Community Management,high,'community ownership' over 'community',3
community ownership of water schemes,Community Management,high,'community ownership' over 'community',3
community participation in water projects,Community Management,high,'community participation' over 'community',3
community payment for waste collection,Service Performance,high,'waste collect' over 'community',3
community priority identification,Community / Users,high,matched 'community',3
community self-management of water service,Service Performance,high,'water service' over 'community',3
community sense of ownership of water schemes,Community Management,high,'community sense of ownership' over 'community',3
community skills in O&M,Community / Users,high,'community' over 'o&m',3
community trust,Community / Users,high,matched 'community trust',3
community waste sorting,Community / Users,high,matched 'community',3
community willingness to pay,Community Finance,high,'willingness to pay' over 'community',3
consistent messaging about Whave Solutions,Private Sector,medium,matched 'whave',3
construction quality,Infrastructure,high,matched 'construction',3
coordination among stakeholders,Coordination,high,matched 'stakeholder',3
coordination continuity,Coordination,high,matched 'coordinat',3
cost effectiveness,O&M,low,token-overlap fallback (8),3
county water policy,Laws + Regulations,high,matched 'policy',3
directive implementation,Infrastructure,high,'implementation' over 'directive',3
distance to fetch water,Service Performance,low,token-overlap fallback (29),3
dumping site availability,Infrastructure,high,matched 'dumping site',3
duplication of efforts,Coordination,high,matched 'duplication of effort',3
duplication of interventions,Coordination,high,matched 'duplication',3
economic growth,Private Sector,high,matched 'economic',3
efficient water use,Service Performance,low,token-overlap fallback (29),3
electricity costs,O&M,high,'electricity cost' over 'electricity',3
employment opportunity,Private Sector,high,matched 'employment opportunit',3
environmental conservation,Environmental,high,matched 'environmental',3
expert capacity,Govt Management,high,matched 'expert',3
finance,Govt / External Finance,high,matched 'finance',3
financial report timeliness,Monitoring,high,matched 'report',3
financial reserves,Govt / External Finance,low,token-overlap fallback (8),3
financing,Govt / External Finance,high,matched 'financing',3
fund mobilization,Capacity Building,high,matched 'mobiliz',3
garbage truck availability,Infrastructure,medium,matched 'truck',3
good reputation,Community / Users,low,no match — defaulted to Community / Users,3
government financial support,Govt / External Finance,high,'financial support' over 'government',3
government funding,Govt / External Finance,high,'government funding' over 'government',3
government-NGO collaboration,Govt Management,low,'government' over 'collaborat',3
health conditions,Community / Users,high,matched 'health',3
health extension workers,Community / Users,high,matched 'health',3
health outcomes,Community / Users,high,matched 'health',3
household water supply,Service Performance,high,'water supply' over 'household',3
hydrological data,Monitoring,medium,matched 'data',3
hygiene and sanitation practices,Community / Users,high,matched 'hygiene',3
improper waste disposal in ditches,Community / Users,high,matched 'improper waste disposal',3
improper waste dumping,Community / Users,low,token-overlap fallback (10),3
inappropriate waste disposal practices,Community / Users,high,matched 'waste disposal practice',3
infrastructure maintenance capacity,Infrastructure,high,'infrastructure' over 'maintenance',3
infrastructure rehabilitation,Infrastructure,high,'infrastructure' over 'rehabilitat',3
infrastructure sustainability,Infrastructure,high,'infrastructure' over 'sustainab',3
institutional accountability,Monitoring,high,matched 'accountab',3
institutional capacity,Govt Management,high,matched 'institutional capacity',3
institutional coordination,Coordination,high,matched 'coordinat',3
institutional liquid waste discharge to rivers,Service Performance,high,matched 'liquid waste',3
institutional/legal framework,Laws + Regulations,medium,matched 'legal',3
investment attraction,Govt / External Finance,high,matched 'investment',3
job opportunities,Community / Users,low,no match — defaulted to Community / Users,3
knowledge,Coordination,low,token-overlap fallback (1),3
latrine capacity,Infrastructure,high,matched 'latrine',3
latrine filling rate,Infrastructure,high,matched 'latrine',3
latrine maintenance,O&M,high,'maintenance' over 'latrine',3
latrine/pit emptying service access,Service Performance,high,'service access' over 'latrine',3
liquid waste filtering systems,Service Performance,high,matched 'liquid waste',3
livestock and agricultural production,Community / Users,high,matched 'livestock',3
local expert capacity,Govt Management,high,matched 'expert',3
local maintenance capacity,O&M,high,matched 'maintenance',3
long-term water projects,Service Performance,low,token-overlap fallback (29),3
machineries and equipment,Infrastructure,high,matched 'equipment',3
machinery breakdown,Service Performance,low,'breakdown' over 'machinery',3
maintenance service,O&M,high,matched 'maintenance',3
maintenance team transportation,O&M,high,'maintenance' over 'transport',3
maintenance timeliness,O&M,high,matched 'maintenance',3
management capacity,Capacity Building,low,token-overlap fallback (7),3
management committee turnover,Community Management,high,'management committee' over 'turnover',3
management effectiveness,O&M,low,token-overlap fallback (6),3
minor repairs,O&M,high,matched 'repair',3
misuse of water revenue,Community Finance,medium,'revenue' over 'misuse',3
monitoring and evaluation system,Monitoring,high,matched 'monitoring',3
monitoring effectiveness,Monitoring,high,matched 'monitoring',3
monitoring system,Monitoring,high,matched 'monitoring',3
nomadic community settlement,Community / Users,high,matched 'settlement',3
old water supply lines,Service Performance,high,matched 'water supply',3
operation and maintenance capacity,O&M,high,matched 'operation and maintenance',3
operation and maintenance knowledge,O&M,high,matched 'operation and maintenance',3
personal and community hygiene,Community / Users,high,matched 'community',3
pipeline monitoring,Monitoring,medium,'monitoring' over 'pipeline',3
political interference in committee management,Politics,high,'political interfer' over 'committee',3
population size,Community / Users,high,matched 'population',3
preventive maintenance,O&M,high,matched 'maintenance',3
professional water utility management,O&M,high,'utility management' over 'professional',3
project financial resources,Govt / External Finance,high,matched 'financial resource',3
project operationalization,Planning,low,token-overlap fallback (7),3
project relevance to community,Community / Users,high,matched 'community',3
project stalling,Planning,low,token-overlap fallback (7),3
prompt repair,O&M,high,matched 'repair',3
pump availability,Infrastructure,low,token-overlap fallback (2),3
pump breakdown,Service Performance,high,matched 'breakdown',3
pump functionality,Service Performance,high,matched 'functionality',3
qualified personnel,Govt Management,high,matched 'personnel',3
regular monitoring of water schemes,Monitoring,high,matched 'monitoring',3
regular water supply,Service Performance,high,matched 'water supply',3
rehabilitation needs,O&M,high,matched 'rehabilitat',3
repair capacity,O&M,high,matched 'repair',3
repair timeliness,O&M,high,matched 'repair',3
reservoir capacity,Infrastructure,high,matched 'reservoir',3
resource efficiency,Govt / External Finance,low,token-overlap fallback (3),3
resource pooling,Govt / External Finance,low,token-overlap fallback (3),3
resource wastage,Govt / External Finance,low,token-overlap fallback (3),3
revenue accountability,Monitoring,medium,'accountab' over 'revenue',3
revenue management,Community Finance,high,matched 'revenue',3
river water contamination,Service Performance,high,'water contaminat' over 'contaminat',3
rocky terrain,Environmental,high,matched 'terrain',3
rural road infrastructure,Infrastructure,high,matched 'infrastructure',3
rural scheme failure,Infrastructure,low,token-overlap fallback (4),3
rural scheme management,O&M,high,matched 'scheme management',3
rural water service sustainability,Sustainability,high,'water service sustainability' over 'water service',3
salinity levels,Environmental,high,matched 'salinity',3
sand dams,Infrastructure,medium,matched 'dams',3
sanitation access,Service Performance,high,matched 'sanitation access',3
sanitation and hygiene awareness,Community / Users,high,matched 'sanitation and hygiene',3
sanitation behavior change,Community / Users,high,matched 'behavior',3
sanitation compliance,Laws + Regulations,high,matched 'compliance',3
sanitation conditions,Service Performance,high,matched 'sanitation condition',3
sanitation infrastructure,Infrastructure,high,matched 'infrastructure',3
sanitation outcomes,Service Performance,low,token-overlap fallback (10),3
scheme accessibility,Infrastructure,low,token-overlap fallback (4),3
scheme monitoring,Monitoring,high,matched 'monitoring',3
security issues,Community / Users,low,no match — defaulted to Community / Users,3
